dc.event,City,State,Country,Latitude,Longitude,dc.description,dc.date.start,dc.subject.classification
1867.AL-05.04.MOBI,Mobile,AL,USA,30.701142,-88.103184,1867 Alabama State Convention of Colored Men held in Mobile,1867-05-04,State Convention
1865.AR-11.30.LITT,Little Rock,AR,USA,34.746905,-92.280049,1865 Arkansas State Convention of Colored Citizens held in Little Rock,1865-11-30,State Convention
1899.DC-03.00.WASH,Washington,DC,USA,38.911936,-77.016719,"1889 National Convention held in Washington, D.C.",1889-03-00,National Convention
1875.DE-10.19.WILM,Wilmington,DE,USA,39.727113,-75.547844,"Report on the National Colored Sunday School Convention, Wilmington, Delaware, October 19, 1875",1875-10-19,National Convention
1884.FL-03.00.GAIN,Gainesville,FL,USA,29.648993,-82.324515,"Report on the The Florida State Conference of Colored Men, Gainsville, March 1884",1884-03-00,State Convention
1888.GA-01.25.MACO,Macon,GA,USA,32.804382,-83.617554,1888 Georgia State Union Brotherhood Convention held in Macon,1888-01-25,State Convention
1891.IA-08.05CEDA,Cedar Rapids,IA,USA,41.976612,-91.657578,1891 Iowa State Colored Convention held in Cedar Rapids,1891-08-05,State Convention
1899.IL-08.17.CHIC,Chicago,IL,USA,41.88531,-87.62213,"Report on the Convention of the National Afro-American Council, Chicago, August 17- 19, 1899",1899-08-17,National Convention
1871.IN-03.01.INDI,Indianapolis,IN,USA,39.775092,-86.13216,1871 Indiana State Convention of Colored Men held in Indianapolis,1871-03-00,State Convention
1887.KS-09.27.TOPE,Topeka,KS,USA,38.988075,-95.780662,"Report on the State Convention of the Afro-American League; Topeka, Kansas, September 27, 1887",1887-09-27,State Convention
1883.KY-09.24.LOUI,Louisville,KY,USA,38.188962,-85.676819,1883 National Convention held in Louisville KY,1883-09-24,National Convention
1899.LA.08.17.NEWO,New Orleans,LA,USA,29.958304,-90.077,1899 Convention of Colored Men held in New Orleans,1899-08-17,State Convention
1865.MA-12.20.BOST,Boston,MA,USA,42.370567,-71.026964,1865 New England Regional Convention of Colored People held in Boston MA,1865-12-20,Regional Convention
1895.MD-07.09.BALT,Baltimore,MD,USA,39.296536,-76.623489,"Report on the National Afro-American Press Association convention, Baltimore, July 9-11, 1895",1895-07-09,National Convention
1865.MI-09.12.DETR,Detroit,MI,USA,42.347021,-83.060184,1865 Michigan State Equal Rights League Convention held in Detroit,1865-09-12,State Convention
1883.MO-07.01.STLO,St.Louis,MO,USA,38.631501,-90.19231,"1883 National Colored Press Convention held in St. Louis, Missouri",1883-07-00,National Convention
1865.MS-09.18.VICK,Vicksburg,MS,USA,32.339533,-90.834407,"1865 State Convention in Vicksburg, MS",1865-09-18,State Convention
1889.NC-04.26.RALE,Raleigh,NC,USA,35.773632,-78.634457,"Proceedings of the State Emigration Convention, Held in Metropolitan Hall, Raleigh, N.C., April 26 & 27, 1889",1889-04-26,State Convention
1871.NE-01.02.OMAH,Omaha,NE,USA,41.291736,-96.171104,1871 Nebraska State Convention held in Omaha,1871-01-02,State Convention
1892.NJ-09.12.TREN,Trenton,NJ,USA,40.280531,-74.712018,"To the Colored Voters of New Jersey--Address Presented by the State Committee, Appointed by the State Convention at Trenton, Sept. 12, 1892",1892-09-12,State Convention
1870.NY-10.31.SYRA,Syracuse,NY,USA,43.02143,-76.197701,1870 New York State Convention of Colored Voters held in Syracuse,1870-10-31,State Convention
1893.OH.11.23.CINN,Cincinnati,OH,USA,39.166759,-84.53822,"1893 National Colored Convention held in Cincinnati, OH",1893-11-23,National Convention
1851.ON-09.11.TORO,Toronto,ON,CAN,43.653963,-79.387207,1851 North American Convention held in Toronto ON,1851-09-11,International Convention
1830.PA-09.20.PHIL,Philadelphia,PA,USA,40.001811,-75.11787,1830 National Convention of Free People of Colour held in Philadelphia PA,1830-09-20,National Convention
1883.SC-07.20.COLU,Columbia,SC,USA,33.987454,-81.024864,"Report on the State Convention of the Colored Citizens of South Carolina, Columbus, July 20, 1883",1883-07-20,State Convention
1891.TN-07.15.KNOX,Knoxville,TN,USA,36.032334,-83.884804,"Report on the Second Annual Convention of the Afro-American league, Knoxville, Tenn., July 15, 1891",1891-07-15,National Convention
1866.TX-03.22.AUST,Austin,TX,USA,30.326374,-97.771258,1866 Texas State Central Committee of Colored Men,1866-03-22,State Convention
1884.VA-07.08.RICH,Richmond,VA,USA,37.524246,-77.493157,"Call for a National Convention of Colored Men to Convene at Richmond, July 8, 1884",1884-07-08,National Convention
1857.CA-10.20.SANF,San Francisco,CA,USA,37.776646,-122.417481,1857 California State Convention of Colored People held in San Francisco,1857-10-20,State Convention
